accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR18491091	PRJNA820119	2559.728343	739.375	3.462016355705833	CN	3.9772213279236746	12058.201	16.308640405748097
SRR18491092	PRJNA820119	6632.468643	2265.625	2.9274344355310347	CN	4.598895684611342	7592.177	3.351029848275862
SRR18491135	PRJNA820119	6457.212091	1566.875	4.12107672341444	CN	3.3186149282731763	9751.867	6.2237683286796965
SRR18491146	PRJNA820119	2442.247262	772.0	3.1635327227979273	CN	4.634726753348847	3141.826	4.0697227979274615
SRR18491149	PRJNA820119	2705.164998	677.375	3.9936002923048535	CN	3.696609209430338	3292.461	4.860617826167189
SRR18491150	PRJNA820119	3490.319344	1105.25	3.157945572494911	CN	4.099363492230755	3965.391	3.5877774259217374
SRR18491151	PRJNA820119	2918.853401	651.5	4.480204759785111	CN	3.5888235208595187	2800.819	4.299031465848043
SRR18491152	PRJNA820119	3373.077671	1006.75	3.350462052148001	CN	3.6670773258798137	4661.551	4.63029649863422
SRR18491153	PRJNA820119	2875.936096	594.75	4.835537782261454	CN	2.9424001795962282	2824.873	4.749681378730559
SRR18491154	PRJNA820119	2939.86129	666.625	4.410067564222763	CN	3.217896008238343	3900.353	5.850895180948809
SRR18491155	PRJNA820119	3338.03186	904.25	3.69149224218966	CN	4.401699137691078	2940.484	3.2518484932264307
SRR18491156	PRJNA820119	3521.543585	854.875	4.119366673490276	CN	3.249046205223275	4232.662	4.95120573183214
SRR18491158	PRJNA820119	5182.010824	1710.625	3.0293084831567407	CN	4.468664018387618	4011.707	2.3451703324808184
SRR18491159	PRJNA820119	3317.367859	780.625	4.249630563971177	CN	3.2712764445708777	5062.148999999999	6.484738510808646
SRR18491160	PRJNA820119	3171.908082	789.25	4.018888922394678	CN	3.3901588531135443	3937.476	4.988883116883117
SRR18491161	PRJNA820119	3189.188861	838.5	3.8034452725104355	CN	2.2668874901946516	4842.215	5.774853905784139
SRR18491162	PRJNA820119	2839.468024	652.75	4.350008462657985	CN	2.763295514332043	5638.047	8.637375718115663
SRR18491163	PRJNA820119	3786.241691	999.75	3.787188488122031	CN	2.8478258507217067	3614.844	3.615747936984246
SRR18491164	PRJNA820119	2786.858782	645.375	4.3182007081154365	CN	3.03390508469626	2772.084	4.295307379430564
SRR18491165	PRJNA820119	2257.683332	469.125	4.812541075406342	CN	1.9214700266248537	2359.605	5.029800159872102
SRR18491166	PRJNA820119	3670.802132	879.75	4.172551443023586	CN	3.4471006441039944	4056.856	4.611373685706167
SRR18491167	PRJNA820119	2954.254272	796.0	3.711374713567839	CN	3.5511831157723988	4135.03	5.194761306532663
SRR18491169	PRJNA820119	3733.204475	843.625	4.425194221366128	CN	2.461759999255534	7864.451	9.322211883241962
SRR18491170	PRJNA820119	3022.432346	742.625	4.069930780676654	CN	3.525055508575498	3238.271	4.360573640801213
